,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
13100,----,----,3.45A,3.50B,4.4,-2.45,,6.85,,,
13125,----,----,2.90A,2.90A,3.45,-2.3,,5.75,,,
13150,----,----,2.45A,2.45A,2.7,-2.1,,4.8,,,
13175,----,----,2.10A,2.10A,2.05,-1.9,,3.95,,,
13200,----,----,1.85A,1.85A,1.55,-1.65,,3.2,,,
13225,----,----,1.65A,1.65A,1.2,-1.35,,2.55,,,
13250,----,----,1.55A,1.55A,0.9,-1.15,,2.05,,,
13275,----,----,1.45A,1.45A,0.7,-0.95,,1.65,,,
13300,----,----,----,----,0.5,-0.8,,1.3,,,
13325,----,----,----,----,0.4,-0.6,,1,,,
13350,----,----,----,----,0.3,-0.5,,0.8,,,
13375,----,----,----,----,0.25,-0.4,,0.65,,,
13400,----,----,----,----,0.2,-0.3,,0.5,,,
13425,----,----,----,----,0.15,-0.25,,0.4,,,
13450,----,----,----,----,0.1,-0.2,,0.3,,,
13475,----,----,----,----,0.1,-0.15,,0.25,,,
13500,----,----,----,----,0.05,-0.15,,0.2,,,
13525,----,----,----,----,CAB,-0.15,,0.15,,,
13550,----,----,----,----,CAB,-0.15,,0.15,,,
13575,----,----,----,----,CAB,-0.1,,0.1,,,
13600,----,----,----,----,CAB,-0.1,,0.1,,,
13625,----,----,----,----,CAB,-0.1,,0.1,,,
13650,----,----,----,----,CAB,-0.05,,0.05,,,
13675,----,----,----,----,CAB,-0.05,,0.05,,,
13700,----,----,----,----,CAB,UNCH,,CAB,,,
13725,----,----,----,----,CAB,UNCH,,CAB,,,
13750,----,----,----,----,CAB,UNCH,,CAB,,,
13775,----,----,----,----,CAB,UNCH,,CAB,,,
13800,----,----,----,----,CAB,UNCH,,CAB,,,
13825,----,----,----,----,CAB,UNCH,,CAB,,,
13850,----,----,----,----,CAB,UNCH,,CAB,,,
13875,----,----,----,----,CAB,UNCH,,CAB,,,
13900,----,----,----,----,CAB,UNCH,,CAB,,,
13925,----,----,----,----,CAB,UNCH,,CAB,,,
13950,----,----,----,----,CAB,UNCH,,CAB,,,
13975,----,----,----,----,CAB,UNCH,,CAB,,,
14000,----,----,----,----,CAB,UNCH,,CAB,,,
14025,----,----,----,----,CAB,UNCH,,CAB,,,
14050,----,----,----,----,CAB,UNCH,,CAB,,,
14075,----,----,----,----,CAB,UNCH,,CAB,,,
14100,----,----,----,----,CAB,UNCH,,CAB,,,
14125,----,----,----,----,CAB,UNCH,,CAB,,,
14150,----,----,----,----,CAB,UNCH,,CAB,,,
14175,----,----,----,----,CAB,UNCH,,CAB,,,
14200,----,----,----,----,CAB,UNCH,,CAB,,,
14225,----,----,----,----,CAB,UNCH,,CAB,,,
14250,----,----,----,----,CAB,UNCH,,CAB,,,
14275,----,----,----,----,CAB,UNCH,,CAB,,,
14300,----,----,----,----,CAB,UNCH,,CAB,,,
14325,----,----,----,----,CAB,UNCH,,CAB,,,
14350,----,----,----,----,CAB,UNCH,,CAB,,,
14375,----,----,----,----,CAB,UNCH,,CAB,,,
14400,----,----,----,----,CAB,UNCH,,CAB,,,
14425,----,----,----,----,CAB,UNCH,,CAB,,,
14450,----,----,----,----,CAB,UNCH,,CAB,,,
14475,----,----,----,----,CAB,UNCH,,CAB,,,
14500,----,----,----,----,CAB,UNCH,,CAB,,,
14525,----,----,----,----,CAB,UNCH,,CAB,,,
14550,----,----,----,----,CAB,UNCH,,CAB,,,
14575,----,----,----,----,CAB,UNCH,,CAB,,,
14600,----,----,----,----,CAB,UNCH,,CAB,,,
14625,----,----,----,----,CAB,UNCH,,CAB,,,
14650,----,----,----,----,CAB,UNCH,,CAB,,,
14675,----,----,----,----,CAB,UNCH,,CAB,,,
14700,----,----,----,----,CAB,UNCH,,CAB,,,
14725,----,----,----,----,CAB,UNCH,,CAB,,,
14750,----,----,----,----,CAB,UNCH,,CAB,,,
14775,----,----,----,----,CAB,UNCH,,CAB,,,
14800,----,----,----,----,CAB,UNCH,,CAB,,,
14825,----,----,----,----,CAB,UNCH,,CAB,,,
14850,----,----,----,----,CAB,UNCH,,CAB,,,
14900,----,----,----,----,CAB,UNCH,,CAB,,,
14950,----,----,----,----,CAB,UNCH,,CAB,,,
15000,----,----,----,----,CAB,UNCH,,CAB,,,
15050,----,----,----,----,CAB,UNCH,,CAB,,,
15100,----,----,----,----,CAB,UNCH,,CAB,,,
15150,----,----,----,----,CAB,UNCH,,CAB,,,
15200,----,----,----,----,CAB,UNCH,,CAB,,,
15250,----,----,----,----,CAB,UNCH,,CAB,,,
15300,----,----,----,----,CAB,UNCH,,CAB,,,
15350,----,----,----,----,CAB,UNCH,,CAB,,,
15400,----,----,----,----,CAB,UNCH,,CAB,,,
15450,----,----,----,----,CAB,UNCH,,CAB,,,
15500,----,----,----,----,CAB,UNCH,,CAB,,,
15550,----,----,----,----,CAB,UNCH,,CAB,,,
15600,----,----,----,----,CAB,UNCH,,CAB,,,
15650,----,----,----,----,CAB,UNCH,,CAB,,,
15700,----,----,----,----,CAB,UNCH,,CAB,,,
15750,----,----,----,----,CAB,UNCH,,CAB,,,
15800,----,----,----,----,CAB,UNCH,,CAB,,,
15850,----,----,----,----,CAB,UNCH,,CAB,,,
15900,----,----,----,----,CAB,UNCH,,CAB,,,
15950,----,----,----,----,CAB,UNCH,,CAB,,,
16000,----,----,----,----,CAB,UNCH,,CAB,,,
16050,----,----,----,----,CAB,UNCH,,CAB,,,
16100,----,----,----,----,CAB,UNCH,,CAB,,,
16150,----,----,----,----,CAB,UNCH,,CAB,,,
16200,----,----,----,----,CAB,UNCH,,CAB,,,
16250,----,----,----,----,CAB,UNCH,,CAB,,,
16300,----,----,----,----,CAB,UNCH,,CAB,,,
16350,----,----,----,----,CAB,UNCH,,CAB,,,
16400,----,----,----,----,CAB,UNCH,,CAB,,,
16450,----,----,----,----,CAB,UNCH,,CAB,,,
16500,----,----,----,----,CAB,UNCH,,CAB,,,
16550,----,----,----,----,CAB,UNCH,,CAB,,,
16600,----,----,----,----,CAB,UNCH,,CAB,,,
16650,----,----,----,----,CAB,UNCH,,CAB,,,
16700,----,----,----,----,CAB,UNCH,,CAB,,,
16750,----,----,----,----,CAB,UNCH,,CAB,,,
16800,----,----,----,----,CAB,UNCH,,CAB,,,
16850,----,----,----,----,CAB,UNCH,,CAB,,,
16900,----,----,----,----,CAB,UNCH,,CAB,,,
16950,----,----,----,----,CAB,UNCH,,CAB,,,
17000,----,----,----,----,CAB,UNCH,,CAB,,,
17050,----,----,----,----,CAB,UNCH,,CAB,,,
17100,----,----,----,----,CAB,UNCH,,CAB,,,
17150,----,----,----,----,CAB,UNCH,,CAB,,,
17200,----,----,----,----,CAB,UNCH,,CAB,,,
17250,----,----,----,----,CAB,UNCH,,CAB,,,
17300,----,----,----,----,CAB,UNCH,,CAB,,,
17350,----,----,----,----,CAB,UNCH,,CAB,,,
17400,----,----,----,----,CAB,UNCH,,CAB,,,
17450,----,----,----,----,CAB,UNCH,,CAB,,,
17500,----,----,----,----,CAB,UNCH,,CAB,,,
17550,----,----,----,----,CAB,UNCH,,CAB,,,
17600,----,----,----,----,CAB,UNCH,,CAB,,,
17650,----,----,----,----,CAB,UNCH,,CAB,,,
17700,----,----,----,----,CAB,UNCH,,CAB,,,
17750,----,----,----,----,CAB,UNCH,,CAB,,,
17800,----,----,----,----,CAB,UNCH,,CAB,,,
17850,----,----,----,----,CAB,UNCH,,CAB,,,
17900,----,----,----,----,CAB,UNCH,,CAB,,,
17950,----,----,----,----,CAB,UNCH,,CAB,,,
18000,----,----,----,----,CAB,UNCH,,CAB,,,
18050,----,----,----,----,CAB,UNCH,,CAB,,,
18100,----,----,----,----,CAB,UNCH,,CAB,,,
18150,----,----,----,----,CAB,UNCH,,CAB,,,
18200,----,----,----,----,CAB,UNCH,,CAB,,,
18250,----,----,----,----,CAB,UNCH,,CAB,,,
18300,----,----,----,----,CAB,UNCH,,CAB,,,
18350,----,----,----,----,CAB,UNCH,,CAB,,,
18400,----,----,----,----,CAB,UNCH,,CAB,,,
18450,----,----,----,----,CAB,UNCH,,CAB,,,
18500,----,----,----,----,CAB,UNCH,,CAB,,,
18550,----,----,----,----,CAB,UNCH,,CAB,,,
9600,----,----,----,----,345.5,-1,,346.5,,,
9650,----,----,----,----,340.5,-1,,341.5,,,
9700,----,----,----,----,335.5,-1,,336.5,,,
9750,----,----,----,----,330.5,-1,,331.5,,,
9800,----,----,----,----,325.5,-1,,326.5,,,
9850,----,----,----,----,320.5,-1,,321.5,,,
9900,----,----,----,----,315.5,-1,,316.5,,,
9950,----,----,----,----,310.5,-1,,311.5,,,
MCO MAR,16 CME E,MINI S&P MI,DCAP 400 OP,TIONS CAL,L,,,,,,
10000,----,----,----,----,305.5,-1,,306.5,,,
10050,----,----,----,----,300.5,-1,,301.5,,,
10100,----,----,----,----,295.5,-1,,296.5,,,
10150,----,----,----,----,290.5,-1,,291.5,,,
10200,----,----,----,----,285.5,-1,,286.5,,,
10250,----,----,----,----,280.5,-1,,281.5,,,
10300,----,----,----,----,275.5,-1,,276.5,,,
10350,----,----,----,----,270.5,-1,,271.5,,,
10400,----,----,----,----,265.5,-1,,266.5,,,
10450,----,----,----,----,260.55,-0.95,,261.5,,,
10500,----,----,----,----,255.55,-1,,256.55,,,
10550,----,----,----,----,250.55,-1,,251.55,,,
10600,----,----,----,----,245.55,-1,,246.55,,,
10650,----,----,----,----,240.55,-1,,241.55,,,
10700,----,----,----,----,235.6,-1,,236.6,,,
10750,----,----,----,----,230.6,-1,,231.6,,,
10800,----,----,----,----,225.6,-1,,226.6,,,
10850,----,----,----,----,220.65,-1,,221.65,,,
10900,----,----,----,----,215.65,-1,,216.65,,,
10950,----,----,----,----,210.7,-1,,211.7,,,
11000,----,----,----,----,205.75,-1,,206.75,,,
11050,----,----,----,----,200.75,-1.05,,201.8,,,
11100,----,----,----,----,195.8,-1,,196.8,,,
11150,----,----,----,----,190.85,-1,,191.85,,,
11200,----,----,----,----,185.9,-1,,186.9,,,
11250,----,----,----,----,180.95,-1.05,,182,,,
11300,----,----,----,----,176.05,-1,,177.05,,,
11350,----,----,----,----,171.1,-1.05,,172.15,,,
11400,----,----,----,----,166.2,-1.05,,167.25,,,
11450,----,----,----,----,161.3,-1.05,,162.35,,,
11500,----,----,----,----,156.4,-1.05,,157.45,,,
11550,----,----,----,----,151.55,-1.05,,152.6,,,
11600,----,----,----,----,146.7,-1.05,,147.75,,,
11650,----,----,----,----,141.85,-1.05,,142.9,,,
11700,----,----,----,----,137.05,-1.05,,138.1,,,
11750,----,----,----,----,132.25,-1.05,,133.3,,,
11800,----,----,----,----,127.5,-1.05,,128.55,,,
11850,----,----,----,----,122.75,-1.1,,123.85,,,
11900,----,----,----,----,118.05,-1.1,,119.15,,,
11950,----,----,----,----,113.35,-1.15,,114.5,,,
12000,----,----,----,----,108.75,-1.1,,109.85,,,
12050,----,----,----,----,104.15,-1.15,,105.3,,,
12100,----,----,----,----,99.6,-1.15,,100.75,,,
12150,----,----,----,----,95.15,-1.1,,96.25,,,
12200,----,----,----,----,90.7,-1.15,,91.85,,,
12225,----,----,----,----,88.5,-1.15,,89.65,,,
12250,----,----,----,----,86.3,-1.15,,87.45,,,
12275,----,----,----,----,84.15,-1.15,,85.3,,,
12300,----,----,----,----,82,-1.15,,83.15,,,
12325,----,----,----,----,79.85,-1.2,,81.05,,,
12350,----,----,----,----,77.75,-1.15,,78.9,,,
12375,----,----,----,----,75.65,-1.15,,76.8,,,
12400,----,----,----,----,73.6,-1.15,,74.75,,,
12425,----,----,----,----,71.55,-1.15,,72.7,,,
12450,----,----,----,----,69.5,-1.15,,70.65,,,
12475,----,----,----,----,67.5,-1.15,,68.65,,,
12500,----,----,----,----,65.5,-1.15,,66.65,,,
12525,----,----,----,----,63.55,-1.15,,64.7,,,
12550,----,----,----,----,61.65,-1.15,,62.8,,,
12575,----,----,----,----,59.7,-1.15,,60.85,,,
12600,----,----,----,----,57.8,-1.15,,58.95,,,
12625,----,----,----,----,55.95,-1.15,,57.1,,,
12650,----,----,----,----,54.1,-1.15,,55.25,,,
12675,----,----,----,----,52.3,-1.15,,53.45,,,
12700,----,----,----,----,50.5,-1.15,,51.65,,,
12725,----,----,----,----,48.75,-1.1,,49.85,,,
12750,----,----,----,----,47,-1.1,,48.1,,,
12775,----,----,----,----,45.3,-1.1,,46.4,,,
12800,----,----,----,----,43.65,-1.1,,44.75,,,
12825,----,----,----,----,42,-1.1,,43.1,,,
12850,----,----,----,----,40.4,-1.05,,41.45,,,
12875,----,----,----,----,38.8,-1.05,,39.85,,,
12900,----,----,----,----,37.25,-1.05,,38.3,,,
12925,----,----,----,----,35.75,-1.05,,36.8,,,
12950,----,----,----,----,34.25,-1.05,,35.3,,,
12975,----,----,----,----,32.8,-1,,33.8,,,
13000,----,----,----,----,31.4,-1,,32.4,,,
13025,----,----,----,----,30,-1,,31,,,
13050,----,----,----,----,28.65,-0.95,,29.6,,,
13075,----,----,----,----,27.3,-0.95,,28.25,,,
13100,----,----,----,----,26,-0.95,,26.95,,,
13125,----,----,----,----,24.75,-0.95,,25.7,,,
13150,----,----,----,----,23.55,-0.9,,24.45,,,
13175,----,----,----,----,22.35,-0.9,,23.25,,,
13200,----,----,----,----,21.2,-0.9,,22.1,,,
13225,----,----,----,----,20.1,-0.85,,20.95,,,
13250,----,----,----,----,19,-0.85,,19.85,,,
13275,----,----,----,----,17.95,-0.85,,18.8,,,
13300,----,----,----,----,16.95,-0.85,,17.8,,,
13325,----,----,----,----,16,-0.8,,16.8,,,
13350,----,----,----,----,15.1,-0.75,,15.85,,,
13375,----,----,----,----,14.2,-0.75,,14.95,,,
13400,----,----,----,----,13.35,-0.75,,14.1,,,
13425,----,----,----,----,12.55,-0.7,,13.25,,,
13450,----,----,----,----,11.75,-0.7,,12.45,,,
13475,----,----,----,----,11.05,-0.65,,11.7,,,
13500,----,----,----,----,10.35,-0.65,,11,,,
13525,----,----,----,----,9.7,-0.6,,10.3,,,
13550,----,----,----,----,9.05,-0.6,,9.65,,,
13575,----,----,----,----,8.45,-0.55,,9,,,
13600,----,----,----,----,7.9,-0.5,,8.4,,,
13625,----,----,----,----,7.35,-0.5,,7.85,,,
13650,----,----,----,----,6.85,-0.5,,7.35,,,
13675,----,----,----,----,6.4,-0.45,,6.85,,,
13700,----,----,----,----,5.95,-0.45,,6.4,,,
13725,----,----,----,----,5.5,-0.45,,5.95,,,
13750,----,----,----,----,5.1,-0.4,,5.5,,,
13775,----,----,----,----,4.75,-0.35,,5.1,,,
13800,----,----,----,----,4.4,-0.35,,4.75,,,
13825,----,----,----,----,4.05,-0.35,,4.4,,,
13850,----,----,----,----,3.75,-0.3,,4.05,,,
13875,----,----,----,----,3.45,-0.3,,3.75,,,
13900,----,----,----,----,3.15,-0.3,,3.45,,,
13925,----,----,----,----,2.9,-0.3,,3.2,,,
13950,----,----,----,----,2.65,-0.3,,2.95,,,
13975,----,----,----,----,2.45,-0.25,,2.7,,,
14000,----,----,----,----,2.25,-0.25,,2.5,,,
14025,----,----,----,----,2.05,-0.25,,2.3,,,
14050,----,----,----,----,1.85,-0.25,,2.1,,,
14075,----,----,----,----,1.7,-0.2,,1.9,,,
14100,----,----,----,----,1.55,-0.2,,1.75,,,
14125,----,----,----,----,1.4,-0.2,,1.6,,,
14150,----,----,----,----,1.3,-0.15,,1.45,,,
14175,----,----,----,----,1.15,-0.2,,1.35,,,
14200,----,----,----,----,1.05,-0.15,,1.2,,,
14225,----,----,----,----,0.95,-0.15,,1.1,,,
14250,----,----,----,----,0.9,-0.1,,1,,,
14275,----,----,----,----,0.8,-0.1,,0.9,,,
14300,----,----,----,----,0.7,-0.15,,0.85,,,
14325,----,----,----,----,0.65,-0.1,,0.75,,,
14350,----,----,----,----,0.6,-0.1,,0.7,,,
14375,----,----,----,----,0.55,-0.1,,0.65,,,
14400,----,----,----,----,0.5,-0.1,,0.6,,,
14425,----,----,----,----,0.45,-0.1,,0.55,,,
14450,----,----,----,----,0.4,-0.1,,0.5,,,
14475,----,----,----,----,0.35,-0.1,,0.45,,,
14500,----,----,----,----,0.35,-0.05,,0.4,,,
14525,----,----,----,----,0.3,-0.05,,0.35,,,
14550,----,----,----,----,0.25,-0.05,,0.3,,,
14575,----,----,----,----,0.25,-0.05,,0.3,,,
14600,----,----,----,----,0.25,UNCH,,0.25,,,
14625,----,----,----,----,0.2,-0.05,,0.25,,,
14650,----,----,----,----,0.2,UNCH,,0.2,,,
14675,----,----,----,----,0.15,-0.05,,0.2,,,
14700,----,----,----,----,0.15,-0.05,,0.2,,,
14725,----,----,----,----,0.15,UNCH,,0.15,,,
14750,----,----,----,----,0.15,UNCH,,0.15,,,
14775,----,----,----,----,0.1,-0.05,,0.15,,,
14800,----,----,----,----,0.1,UNCH,,0.1,,,
14825,----,----,----,----,0.1,UNCH,,0.1,,,
14850,----,----,----,----,0.1,UNCH,,0.1,,,
14900,----,----,----,----,0.1,UNCH,,0.1,,,
14950,----,----,----,----,0.05,UNCH,,0.05,,,
15000,----,----,----,----,0.05,UNCH,,0.05,,,
15050,----,----,----,----,0.05,UNCH,,0.05,,,
15100,----,----,----,----,CAB,UNCH,,CAB,,,
15150,----,----,----,----,CAB,UNCH,,CAB,,,
15200,----,----,----,----,CAB,UNCH,,CAB,,,
15250,----,----,----,----,CAB,UNCH,,CAB,,,
15300,----,----,----,----,CAB,UNCH,,CAB,,,
15350,----,----,----,----,CAB,UNCH,,CAB,,,
15400,----,----,----,----,CAB,UNCH,,CAB,,,
15450,----,----,----,----,CAB,UNCH,,CAB,,,
15500,----,----,----,----,CAB,UNCH,,CAB,,,
15550,----,----,----,----,CAB,UNCH,,CAB,,,
15600,----,----,----,----,CAB,UNCH,,CAB,,,
15650,----,----,----,----,CAB,UNCH,,CAB,,,
15700,----,----,----,----,CAB,UNCH,,CAB,,,
15750,----,----,----,----,CAB,UNCH,,CAB,,,
15800,----,----,----,----,CAB,UNCH,,CAB,,,
15850,----,----,----,----,CAB,UNCH,,CAB,,,
15900,----,----,----,----,CAB,UNCH,,CAB,,,
15950,----,----,----,----,CAB,UNCH,,CAB,,,
16000,----,----,----,----,CAB,UNCH,,CAB,,,
16050,----,----,----,----,CAB,UNCH,,CAB,,,
16100,----,----,----,----,CAB,UNCH,,CAB,,,
16150,----,----,----,----,CAB,UNCH,,CAB,,,
16200,----,----,----,----,CAB,UNCH,,CAB,,,
16250,----,----,----,----,CAB,UNCH,,CAB,,,
16300,----,----,----,----,CAB,UNCH,,CAB,,,
16350,----,----,----,----,CAB,UNCH,,CAB,,,
16400,----,----,----,----,CAB,UNCH,,CAB,,,
16450,----,----,----,----,CAB,UNCH,,CAB,,,
16500,----,----,----,----,CAB,UNCH,,CAB,,,
16550,----,----,----,----,CAB,UNCH,,CAB,,,
16600,----,----,----,----,CAB,UNCH,,CAB,,,
16650,----,----,----,----,CAB,UNCH,,CAB,,,
16700,----,----,----,----,CAB,UNCH,,CAB,,,
16750,----,----,----,----,CAB,UNCH,,CAB,,,
16800,----,----,----,----,CAB,UNCH,,CAB,,,
16850,----,----,----,----,CAB,UNCH,,CAB,,,
16900,----,----,----,----,CAB,UNCH,,CAB,,,
16950,----,----,----,----,CAB,UNCH,,CAB,,,
17000,----,----,----,----,CAB,UNCH,,CAB,,,
17050,----,----,----,----,CAB,UNCH,,CAB,,,
17100,----,----,----,----,CAB,UNCH,,CAB,,,
17150,----,----,----,----,CAB,UNCH,,CAB,,,
17200,----,----,----,----,CAB,UNCH,,CAB,,,
17250,----,----,----,----,CAB,UNCH,,CAB,,,
17300,----,----,----,----,CAB,UNCH,,CAB,,,
17350,----,----,----,----,CAB,UNCH,,CAB,,,
17400,----,----,----,----,CAB,UNCH,,CAB,,,
17450,----,----,----,----,CAB,UNCH,,CAB,,,
17500,----,----,----,----,CAB,UNCH,,CAB,,,
17550,----,----,----,----,CAB,UNCH,,CAB,,,
17600,----,----,----,----,CAB,UNCH,,CAB,,,
17650,----,----,----,----,CAB,UNCH,,CAB,,,
17700,----,----,----,----,CAB,UNCH,,CAB,,,
17750,----,----,----,----,CAB,UNCH,,CAB,,,
17800,----,----,----,----,CAB,UNCH,,CAB,,,
17850,----,----,----,----,CAB,UNCH,,CAB,,,
17900,----,----,----,----,CAB,UNCH,,CAB,,,
17950,----,----,----,----,CAB,UNCH,,CAB,,,
18000,----,----,----,----,CAB,UNCH,,CAB,,,
18050,----,----,----,----,CAB,UNCH,,CAB,,,
18100,----,----,----,----,CAB,UNCH,,CAB,,,
18150,----,----,----,----,CAB,UNCH,,CAB,,,
18200,----,----,----,----,CAB,UNCH,,CAB,,,
18250,----,----,----,----,CAB,UNCH,,CAB,,,
18300,----,----,----,----,CAB,UNCH,,CAB,,,
18350,----,----,----,----,CAB,UNCH,,CAB,,,
18400,----,----,----,----,CAB,UNCH,,CAB,,,
18450,----,----,----,----,CAB,UNCH,,CAB,,,
18500,----,----,----,----,CAB,UNCH,,CAB,,,
18550,----,----,----,----,CAB,UNCH,,CAB,,,
9600,----,----,----,----,345.5,-1,,346.5,,,
9650,----,----,----,----,340.5,-1,,341.5,,,
9700,----,----,----,----,335.5,-1,,336.5,,,
9750,----,----,----,----,330.5,-1,,331.5,,,
9800,----,----,----,----,325.5,-1,,326.5,,,
9850,----,----,----,----,320.5,-1,,321.5,,,
9900,----,----,----,----,315.5,-1,,316.5,,,
9950,----,----,----,----,310.5,-1,,311.5,,,
MCO APR,16 CME E,MINI S&P MI,DCAP 400 OP,TIONS CAL,L,,,,,,
10000,----,----,----,----,300.8,-1.05,,301.85,,,
10050,----,----,----,----,295.85,-1,,296.85,,,
10100,----,----,----,----,290.85,-1.05,,291.9,,,
10150,----,----,----,----,285.9,-1.05,,286.95,,,
10200,----,----,----,----,280.95,-1,,281.95,,,
10250,----,----,----,----,276,-1,,277,,,
10300,----,----,----,----,271.05,-1,,272.05,,,
10350,----,----,----,----,266.1,-1,,267.1,,,
10400,----,----,----,----,261.15,-1.05,,262.2,,,
10450,----,----,----,----,256.2,-1.05,,257.25,,,
10500,----,----,----,----,251.25,-1.05,,252.3,,,
10550,----,----,----,----,246.35,-1.05,,247.4,,,
10600,----,----,----,----,241.4,-1.05,,242.45,,,
10650,----,----,----,----,236.5,-1.05,,237.55,,,
10700,----,----,----,----,231.6,-1.05,,232.65,,,
10750,----,----,----,----,226.7,-1.05,,227.75,,,
10800,----,----,----,----,221.8,-1.05,,222.85,,,
10850,----,----,----,----,216.9,-1.1,,218,,,
10900,----,----,----,----,212.05,-1.05,,213.1,,,
10950,----,----,----,----,207.2,-1.05,,208.25,,,
11000,----,----,----,----,202.35,-1.05,,203.4,,,
11050,----,----,----,----,197.5,-1.05,,198.55,,,
11100,----,----,----,----,192.65,-1.1,,193.75,,,
11150,----,----,----,----,187.85,-1.05,,188.9,,,
11200,----,----,----,----,183.05,-1.05,,184.1,,,
11250,----,----,----,----,178.25,-1.1,,179.35,,,
11300,----,----,----,----,173.5,-1.05,,174.55,,,
11350,----,----,----,----,168.75,-1.05,,169.8,,,
11400,----,----,----,----,164,-1.1,,165.1,,,
11450,----,----,----,----,159.3,-1.1,,160.4,,,
11500,----,----,----,----,154.65,-1.1,,155.75,,,
11550,----,----,----,----,150,-1.1,,151.1,,,
11600,----,----,----,----,145.4,-1.1,,146.5,,,
11650,----,----,----,----,140.8,-1.1,,141.9,,,
11700,----,----,----,----,136.2,-1.1,,137.3,,,
11750,----,----,----,----,131.7,-1.1,,132.8,,,
11800,----,----,----,----,127.2,-1.1,,128.3,,,
11850,----,----,----,----,122.75,-1.05,,123.8,,,
11900,----,----,----,----,118.3,-1.1,,119.4,,,
11950,----,----,----,----,113.95,-1.1,,115.05,,,
12000,----,----,----,----,109.65,-1.05,,110.7,,,
12050,----,----,----,----,105.35,-1.1,,106.45,,,
12100,----,----,----,----,101.15,-1.05,,102.2,,,
12150,----,----,----,----,97,-1.05,,98.05,,,
12175,----,----,----,----,95,-1.05,,96.05,,,
12200,----,----,----,----,92.95,-1.05,,94,,,
12225,----,----,----,----,90.9,-1.05,,91.95,,,
12250,----,----,----,----,88.9,-1.05,,89.95,,,
12275,----,----,----,----,86.9,-1.05,,87.95,,,
12300,----,----,----,----,84.95,-1.05,,86,,,
12325,----,----,----,----,83,-1.05,,84.05,,,
12350,----,----,----,----,81.05,-1.05,,82.1,,,
12375,----,----,----,----,79.1,-1.05,,80.15,,,
12400,----,----,----,----,77.2,-1.05,,78.25,,,
12425,----,----,----,----,75.3,-1.05,,76.35,,,
12450,----,----,----,----,73.45,-1.05,,74.5,,,
12475,----,----,----,----,71.6,-1.05,,72.65,,,
12500,----,----,----,----,69.8,-1,,70.8,,,
12525,----,----,----,----,68,-1,,69,,,
12550,----,----,----,----,66.2,-1,,67.2,,,
12575,----,----,----,----,64.4,-1,,65.4,,,
12600,----,----,----,----,62.65,-1,,63.65,,,
12625,----,----,----,----,60.95,-0.95,,61.9,,,
12650,----,----,----,----,59.25,-0.95,,60.2,,,
12675,----,----,----,----,57.55,-0.95,,58.5,,,
12700,----,----,----,----,55.9,-0.95,,56.85,,,
12725,----,----,----,----,54.3,-0.9,,55.2,,,
12750,----,----,----,----,52.65,-0.95,,53.6,,,
12775,----,----,----,----,51.05,-0.95,,52,,,
12800,----,----,----,----,49.5,-0.95,,50.45,,,
12825,----,----,----,----,47.95,-0.95,,48.9,,,
12850,----,----,----,----,46.4,-0.95,,47.35,,,
12875,----,----,----,----,44.9,-0.95,,45.85,,,
12900,----,----,----,----,43.4,-0.95,,44.35,,,
12925,----,----,----,----,41.95,-0.9,,42.85,,,
12950,----,----,----,----,40.5,-0.95,,41.45,,,
12975,----,----,----,----,39.1,-0.95,,40.05,,,
13000,----,----,----,----,37.75,-0.9,,38.65,,,
13025,----,----,----,----,36.4,-0.85,,37.25,,,
13050,----,----,----,----,35.1,-0.85,,35.95,,,
13075,----,----,----,----,33.8,-0.85,,34.65,,,
13100,----,----,----,----,32.55,-0.8,,33.35,,,
13125,----,----,----,----,31.3,-0.8,,32.1,,,
13150,----,----,----,----,30.1,-0.8,,30.9,,,
13175,----,----,----,----,28.95,-0.75,,29.7,,,
13200,----,----,----,----,27.8,-0.75,,28.55,,,
13225,----,----,----,----,26.65,-0.75,,27.4,,,
13250,----,----,----,----,25.55,-0.75,,26.3,,,
13275,----,----,----,----,24.5,-0.7,,25.2,,,
13300,----,----,----,----,23.45,-0.7,,24.15,,,
13350,----,----,----,----,21.45,-0.65,,22.1,,,
13375,----,----,----,----,20.5,-0.65,,21.15,,,
13400,----,----,----,----,19.6,-0.6,,20.2,,,
13425,----,----,----,----,18.7,-0.55,,19.25,,,
13450,----,----,----,----,17.8,-0.55,,18.35,,,
13475,----,----,----,----,16.95,-0.55,,17.5,,,
13500,----,----,----,----,16.15,-0.5,,16.65,,,
13525,----,----,----,----,15.35,-0.5,,15.85,,,
13550,----,----,----,----,14.6,-0.45,,15.05,,,
13575,----,----,----,----,13.85,-0.45,,14.3,,,
13600,----,----,----,----,13.1,-0.45,,13.55,,,
13625,----,----,----,----,12.4,-0.45,,12.85,,,
13650,----,----,----,----,11.75,-0.45,,12.2,,,
13675,----,----,----,----,11.1,-0.45,,11.55,,,
13700,----,----,----,----,10.5,-0.4,,10.9,,,
13725,----,----,----,----,9.9,-0.4,,10.3,,,
13750,----,----,----,----,9.3,-0.4,,9.7,,,
13775,----,----,----,----,8.75,-0.4,,9.15,,,
13800,----,----,----,----,8.25,-0.35,,8.6,,,
13825,----,----,----,----,7.75,-0.35,,8.1,,,
13850,----,----,----,----,7.25,-0.35,,7.6,,,
13875,----,----,----,----,6.8,-0.35,,7.15,,,
